Airline,Date_of_Journey,Source,Destination,Route,Duration,Additional_Info,Price,Day_of_Journey,Month_of_Journey,Stops,Arrival_Day,Arrival_Month,Day_of_Journey_numbers,Duration_Categorized,Trip_distance,Dep_Day_Period,Arrival_Day_Period,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min
IndiGo,2019-05-27,Delhi,Cochin,DEL → BOM → COK,300,No info,5054,Monday,May,1,None,None,27,Short_duration,Long_Dist,Afternoon,Evening,16,00,21,0
Air India,2019-06-01,Delhi,Cochin,DEL → BOM → COK,1335,No info,8582,Saturday,June,1,02,Jun,1,Medium_duration,Long_Dist,Evening,Afternoon,21,00,19,15
Air Asia,2019-06-09,Delhi,Cochin,DEL → BLR → COK,330,No info,8759,Sunday,June,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,55,13,25
IndiGo,2019-04-27,Delhi,Cochin,DEL → HYD → COK,515,No info,6442,Saturday,April,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,35,16,10
Air India,2019-05-18,Delhi,Cochin,DEL → BOM → COK,925,No info,8879,Saturday,May,1,None,None,18,Medium_duration,Long_Dist,Night,Afternoon,03,50,19,15
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1260,In-flight meal not included,10031,Sunday,March,1,25,Mar,24,Medium_duration,Medium_Dist,Evening,Afternoon,21,10,18,10
Jet Airways,2019-06-03,Delhi,Cochin,DEL → JAI → BOM → COK,810,In-flight meal not included,10368,Monday,June,2,None,None,3,Medium_duration,Long_Dist,Ealry_Morning,Afternoon,05,30,19,0
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,170,No info,3943,Monday,June,0,None,None,24,Short_duration,Medium_Dist,Afternoon,Afternoon,13,00,15,50
IndiGo,2019-03-03,Delhi,Cochin,DEL → BOM → COK,405,No info,14871,Sunday,March,1,None,None,3,Short_duration,Long_Dist,Night,Ealry_Morning,04,45,11,30
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,90,In-flight meal not included,4995,Tuesday,June,0,None,None,18,Short_duration,Short_Dist,Ealry_Morning,Ealry_Morning,08,45,10,15
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,520,In-flight meal not included,10791,Monday,June,1,None,None,24,Short_duration,Long_Dist,Ealry_Morning,Afternoon,10,20,19,0
SpiceJet,2019-06-03,Mumbai,Hyderabad,BOM → HYD,90,No info,2753,Monday,June,0,None,None,3,Short_duration,Short_Dist,Ealry_Morning,Ealry_Morning,05,45,7,15
IndiGo,2019-04-09,Banglore,Delhi,BLR → DEL,170,No info,4423,Tuesday,April,0,None,None,9,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,10,10,13,0
Air Asia,2019-05-27,Kolkata,Banglore,CCU → BLR,155,No info,4409,Monday,May,0,None,None,27,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,10,20,12,55
Air India,2019-05-09,Kolkata,Banglore,CCU → HYD → BLR,965,No info,6117,Thursday,May,1,10,May,9,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,19,00,11,5
Jet Airways,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,1430,No info,15129,Tuesday,May,2,22,May,21,Medium_duration,Long_Dist,Afternoon,Afternoon,19,10,19,0
Vistara,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1625,No info,9345,Thursday,June,1,07,Jun,6,Long_duration,Medium_Dist,Evening,Evening,20,20,23,25
Vistara,2019-05-09,Kolkata,Banglore,CCU → DEL → BLR,975,No info,8085,Thursday,May,1,None,None,9,Medium_duration,Medium_Dist,Ealry_Morning,Evening,07,10,23,25
Jet Airways,2019-05-06,Delhi,Cochin,DEL → BOM → COK,925,No info,15554,Monday,May,1,07,May,6,Medium_duration,Long_Dist,Afternoon,Night,13,00,4,25
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,170,No check-in baggage included,3573,Tuesday,May,0,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,30,12,20
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,515,No info,17073,Sunday,March,1,04,Mar,3,Short_duration,Long_Dist,Afternoon,Night,17,00,1,35
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,830,No info,6795,Sunday,June,1,10,Jun,9,Medium_duration,Long_Dist,Ealry_Morning,Night,11,40,1,30
Vistara,2019-03-21,Banglore,New Delhi,BLR → DEL,160,No info,5403,Thursday,March,0,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,00,9,40
IndiGo,2019-05-15,Chennai,Kolkata,MAA → CCU,145,No info,3540,Wednesday,May,0,None,None,15,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,15,7,40
Vistara,2019-04-24,Delhi,Cochin,DEL → COK,190,No info,6216,Wednesday,April,0,None,None,24,Short_duration,Long_Dist,Afternoon,Afternoon,14,40,17,50
Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,175,In-flight meal not included,3359,Tuesday,May,0,None,None,21,Short_duration,Medium_Dist,Afternoon,Afternoon,15,50,18,45
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1720,In-flight meal not included,10844,Friday,May,1,25,May,24,Long_duration,Medium_Dist,Afternoon,Evening,18,55,23,35
Air India,2019-06-15,Banglore,Delhi,BLR → DEL,170,No info,6961,Saturday,June,0,None,None,15,Short_duration,Medium_Dist,Afternoon,Afternoon,13,20,16,10
Air Asia,2019-04-03,Kolkata,Banglore,CCU → BLR,155,No info,4107,Wednesday,April,0,None,None,3,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,10,20,12,55
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,580,No info,13069,Thursday,March,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Afternoon,09,10,18,50
Jet Airways,2019-06-24,Delhi,Cochin,DEL → LKO → BOM → COK,1000,No info,13357,Monday,June,2,25,Jun,24,Medium_duration,Long_Dist,Ealry_Morning,Night,11,45,4,25
IndiGo,2019-06-01,Delhi,Cochin,DEL → HYD → COK,380,No info,6938,Saturday,June,1,None,None,1,Short_duration,Long_Dist,Afternoon,Evening,16,10,22,30
Jet Airways,2019-06-27,Delhi,Cochin,DEL → IDR → BOM → COK,1620,No info,13292,Thursday,June,2,28,Jun,27,Long_duration,Long_Dist,Ealry_Morning,Afternoon,09,35,12,35
Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → BHO → DEL,875,1 Short layover,26743,Friday,March,2,None,None,1,Medium_duration,Medium_Dist,Ealry_Morning,Evening,08,50,23,25
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,730,No info,13568,Thursday,March,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Afternoon,06,40,18,50
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,455,No info,15353,Wednesday,March,1,None,None,6,Short_duration,Long_Dist,Ealry_Morning,Afternoon,11,40,19,15
IndiGo,2019-05-15,Chennai,Kolkata,MAA → CCU,140,No info,3597,Wednesday,May,0,None,None,15,Short_duration,Medium_Dist,Afternoon,Afternoon,14,45,17,5
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1150,In-flight meal not included,10031,Sunday,March,1,25,Mar,24,Medium_duration,Medium_Dist,Evening,Afternoon,21,10,16,20
Air India,2019-05-09,Kolkata,Banglore,CCU → BOM → AMD → BLR,1200,No info,14687,Thursday,May,2,10,May,9,Medium_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,09,25,5,25
Jet Airways,2019-06-06,Banglore,Delhi,BLR → DEL,180,In-flight meal not included,7229,Thursday,June,0,None,None,6,Short_duration,Medium_Dist,Afternoon,Evening,19,50,22,50
GoAir,2019-05-09,Delhi,Cochin,DEL → BOM → COK,310,No info,10188,Thursday,May,1,None,None,9,Short_duration,Long_Dist,Afternoon,Afternoon,14,25,19,35
Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,160,No info,7398,Saturday,March,0,None,None,9,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,00,9,40
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,1775,No info,16704,Saturday,May,2,19,May,18,Long_duration,Long_Dist,Afternoon,Afternoon,13,25,19,0
IndiGo,2019-03-01,Banglore,New Delhi,BLR → HYD → DEL,295,No Info,8153,Friday,March,1,None,None,1,Short_duration,Medium_Dist,Afternoon,Evening,16,55,21,50
Jet Airways,2019-04-09,Banglore,Delhi,BLR → DEL,180,No info,7229,Tuesday,April,0,None,None,9,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,10,10,10
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → BOM → COK,750,In-flight meal not included,6943,Monday,May,1,28,May,27,Short_duration,Long_Dist,Afternoon,Night,13,00,1,30
Multiple carriers,2019-06-01,Delhi,Cochin,DEL → BOM → COK,755,No info,8937,Saturday,June,1,None,None,1,Medium_duration,Long_Dist,Ealry_Morning,Afternoon,06,40,19,15
Air India,2019-03-03,Delhi,Cochin,DEL → HYD → MAA → COK,1580,No info,9400,Sunday,March,2,04,Mar,3,Long_duration,Long_Dist,Ealry_Morning,Ealry_Morning,07,05,9,25
Vistara,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,795,No info,13152,Sunday,March,1,None,None,24,Medium_duration,Medium_Dist,Ealry_Morning,Evening,07,10,20,25
IndiGo,2019-06-01,Banglore,Delhi,BLR → DEL,170,No info,3419,Saturday,June,0,02,Jun,1,Short_duration,Medium_Dist,Evening,Night,22,10,1,0
Vistara,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,765,No info,7927,Wednesday,June,1,13,Jun,12,Medium_duration,Medium_Dist,Evening,Ealry_Morning,20,20,9,5
Air India,2019-03-15,Banglore,New Delhi,BLR → CCU → GAU → DEL,980,No info,9796,Friday,March,2,None,None,15,Medium_duration,Medium_Dist,Ealry_Morning,Evening,05,50,22,10
Vistara,2019-03-03,Banglore,New Delhi,BLR → DEL,160,No info,8028,Sunday,March,0,None,None,3,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,11,30,14,10
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → HYD → MAA → COK,495,No info,10759,Wednesday,March,2,None,None,6,Short_duration,Long_Dist,Afternoon,Evening,13,05,21,20
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,720,No info,10197,Tuesday,May,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,00,19,0
Air India,2019-06-01,Banglore,Delhi,BLR → DEL,170,No info,5228,Saturday,June,0,None,None,1,Short_duration,Medium_Dist,Evening,Evening,21,05,23,55
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,660,In-flight meal not included,9275,Saturday,May,1,None,None,18,Short_duration,Long_Dist,Ealry_Morning,Evening,10,00,21,0
IndiGo,2019-03-03,Chennai,Kolkata,MAA → CCU,140,No info,5277,Sunday,March,0,04,Mar,3,Short_duration,Medium_Dist,Evening,Night,22,05,0,25
Jet Airways,2019-05-18,Delhi,Cochin,DEL → NAG → BOM → COK,830,In-flight meal not included,13848,Saturday,May,2,19,May,18,Medium_duration,Long_Dist,Afternoon,Night,14,35,4,25
IndiGo,2019-05-15,Delhi,Cochin,DEL → HYD → COK,490,No info,6412,Wednesday,May,1,None,None,15,Short_duration,Long_Dist,Afternoon,Evening,14,20,22,30
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,730,No info,13941,Saturday,May,1,19,May,18,Short_duration,Medium_Dist,Afternoon,Night,16,30,4,40
Vistara,2019-05-06,Banglore,Delhi,BLR → DEL,160,No info,4668,Monday,May,0,None,None,6,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,07,00,9,40
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,165,No info,3419,Tuesday,June,0,None,None,18,Short_duration,Medium_Dist,Night,Night,01,30,4,15
IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,170,No info,3943,Saturday,April,0,07,Apr,6,Short_duration,Medium_Dist,Evening,Night,22,10,1,0
Air India,2019-05-24,Kolkata,Banglore,CCU → MAA → BLR,1440,No info,6528,Friday,May,1,25,May,24,Medium_duration,Medium_Dist,Afternoon,Afternoon,14,35,14,35
Jet Airways,2019-05-21,Banglore,Delhi,BLR → DEL,180,No info,7229,Tuesday,May,0,None,None,21,Short_duration,Medium_Dist,Afternoon,Evening,17,45,20,45
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,755,No info,13542,Thursday,March,1,22,Mar,21,Medium_duration,Long_Dist,Afternoon,Night,13,00,1,35
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,1550,In-flight meal not included,8529,Wednesday,June,1,13,Jun,12,Long_duration,Medium_Dist,Afternoon,Evening,18,55,20,45
Jet Airways,2019-06-21,Banglore,Delhi,BLR → DEL,175,No info,8016,Friday,June,0,None,None,21,Short_duration,Medium_Dist,Afternoon,Afternoon,15,15,18,10
Jet Airways,2019-05-09,Delhi,Cochin,DEL → JAI → BOM → COK,1025,In-flight meal not included,13029,Thursday,May,2,10,May,9,Medium_duration,Long_Dist,Afternoon,Afternoon,19,30,12,35
Jet Airways,2019-05-09,Delhi,Cochin,DEL → AMD → BOM → COK,1760,No info,15129,Thursday,May,2,11,May,9,Long_duration,Long_Dist,Evening,Night,23,05,4,25
Jet Airways,2019-06-09,Delhi,Cochin,DEL → JAI → BOM → COK,535,In-flight meal not included,10368,Sunday,June,2,10,Jun,9,Short_duration,Long_Dist,Afternoon,Night,19,30,4,25
Air India,2019-03-03,Delhi,Cochin,DEL → COK,185,No info,8666,Sunday,March,0,None,None,3,Short_duration,Long_Dist,Afternoon,Evening,18,05,21,10
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,540,No info,15554,Saturday,May,1,None,None,18,Short_duration,Long_Dist,Ealry_Morning,Afternoon,10,00,19,0
Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,625,No info,26890,Friday,March,1,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,05,45,16,10
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1005,No info,13067,Tuesday,May,1,22,May,21,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,17,00,9,45
Jet Airways,2019-04-01,Banglore,Delhi,BLR → DEL,165,In-flight meal not included,4544,Monday,April,0,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,06,00,8,45
Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,1580,No info,8452,Tuesday,May,1,22,May,21,Long_duration,Medium_Dist,Evening,Evening,20,20,22,40
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,795,In-flight meal not included,7268,Thursday,June,1,None,None,27,Medium_duration,Long_Dist,Ealry_Morning,Afternoon,06,00,19,15
Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,630,No info,9627,Thursday,May,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,08,30,19,0
Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,455,No info,9103,Thursday,May,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,11,25,19,0
Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,660,No info,11142,Tuesday,April,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,08,00,19,0
IndiGo,2019-03-09,Kolkata,Banglore,CCU → BLR,170,No info,4148,Saturday,March,0,None,None,9,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,30,8,20
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,1545,In-flight meal not included,10844,Saturday,May,1,19,May,18,Long_duration,Medium_Dist,Afternoon,Afternoon,16,30,18,15
Multiple carriers,2019-06-06,Delhi,Cochin,DEL → HYD → COK,385,No info,9646,Thursday,June,1,None,None,6,Short_duration,Long_Dist,Ealry_Morning,Afternoon,09,45,16,10
IndiGo,2019-03-01,Mumbai,Hyderabad,BOM → HYD,85,No info,12475,Friday,March,0,None,None,1,Short_duration,Short_Dist,Afternoon,Afternoon,12,00,13,25
Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1210,No info,15554,Saturday,May,1,19,May,18,Medium_duration,Long_Dist,Evening,Afternoon,22,50,19,0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,715,In-flight meal not included,10262,Thursday,June,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,05,19,0
Air India,2019-06-12,Banglore,Delhi,BLR → DEL,170,No info,6961,Wednesday,June,0,None,None,12,Short_duration,Medium_Dist,Afternoon,Afternoon,13,20,16,10
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,300,In-flight meal not included,10262,Saturday,June,1,None,None,15,Short_duration,Long_Dist,Afternoon,Afternoon,14,00,19,0
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,1620,In-flight meal not included,10262,Thursday,June,1,28,Jun,27,Long_duration,Long_Dist,Afternoon,Afternoon,16,00,19,0
IndiGo,2019-05-09,Banglore,Delhi,BLR → DEL,170,No info,3943,Thursday,May,0,10,May,9,Short_duration,Medium_Dist,Evening,Night,23,30,2,20
Air India,2019-05-24,Mumbai,Hyderabad,BOM → HYD,75,No info,3625,Friday,May,0,None,None,24,Short_duration,Short_Dist,Afternoon,Evening,19,30,20,45
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,615,No info,13378,Thursday,March,1,None,None,21,Short_duration,Long_Dist,Ealry_Morning,Afternoon,09,00,19,15
Jet Airways,2019-06-15,Delhi,Cochin,DEL → LKO → BOM → COK,1490,No info,13882,Saturday,June,2,16,Jun,15,Medium_duration,Long_Dist,Ealry_Morning,Afternoon,11,45,12,35
IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,170,No info,3943,Tuesday,June,0,None,None,18,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,05,30,8,20
Air India,2019-05-15,Kolkata,Banglore,CCU → BOM → AMD → BLR,1200,No info,14687,Wednesday,May,2,16,May,15,Medium_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,09,25,5,25
Air Asia,2019-05-27,Delhi,Cochin,DEL → BLR → COK,330,No info,6451,Monday,May,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,55,13,25
Vistara,2019-06-09,Banglore,Delhi,BLR → DEL,165,No info,4878,Sunday,June,0,None,None,9,Short_duration,Medium_Dist,Afternoon,Evening,19,30,22,15
IndiGo,2019-05-09,Delhi,Cochin,DEL → BOM → COK,415,No info,8542,Thursday,May,1,10,May,9,Short_duration,Long_Dist,Afternoon,Night,18,35,1,30
IndiGo,2019-05-24,Kolkata,Banglore,CCU → BLR,165,No info,4804,Friday,May,0,None,None,24,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,35,12,20
IndiGo,2019-06-06,Kolkata,Banglore,CCU → PNQ → BLR,315,No info,6711,Thursday,June,1,07,Jun,6,Short_duration,Medium_Dist,Evening,Night,21,00,2,15
Multiple carriers,2019-06-15,Delhi,Cochin,DEL → BOM → COK,375,No info,16108,Saturday,June,1,None,None,15,Short_duration,Long_Dist,Afternoon,Afternoon,13,00,19,15
IndiGo,2019-06-06,Banglore,Delhi,BLR → DEL,170,No info,3943,Thursday,June,0,None,None,6,Short_duration,Medium_Dist,Night,Night,00,25,3,15
Air India,2019-05-24,Kolkata,Banglore,CCU → DEL → AMD → BLR,1165,No info,15422,Friday,May,2,25,May,24,Medium_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,10,00,5,25
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,175,No info,5694,Sunday,March,0,28,Mar,24,Short_duration,Medium_Dist,Evening,Night,21,20,0,15
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,685,No info,12681,Monday,April,1,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,08,25,19,50
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,845,In-flight meal not included,8586,Wednesday,May,1,02,May,1,Medium_duration,Medium_Dist,Evening,Ealry_Morning,20,00,10,5
IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,165,No info,6144,Sunday,March,0,None,None,3,Short_duration,Medium_Dist,Night,Night,00,40,3,25
IndiGo,2019-04-27,Delhi,Cochin,DEL → COK,195,No info,6015,Saturday,April,0,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Ealry_Morning,05,35,8,50
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,860,No info,7155,Thursday,June,1,None,None,27,Medium_duration,Long_Dist,Night,Afternoon,04,55,19,15
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,750,No info,12692,Wednesday,June,1,None,None,12,Short_duration,Medium_Dist,Ealry_Morning,Evening,09,35,22,5
Air India,2019-05-18,Delhi,Cochin,DEL → BLR → COK,320,No info,8277,Saturday,May,1,None,None,18,Short_duration,Long_Dist,Afternoon,Evening,17,40,23,0
Air India,2019-05-09,Delhi,Cochin,DEL → HYD → MAA → COK,1580,No info,9347,Thursday,May,2,10,May,9,Long_duration,Long_Dist,Ealry_Morning,Ealry_Morning,07,05,9,25
Air India,2019-03-15,Delhi,Cochin,DEL → COK,185,No info,4939,Friday,March,0,None,None,15,Short_duration,Long_Dist,Afternoon,Evening,18,05,21,10
Jet Airways,2019-03-12,Mumbai,Hyderabad,BOM → HYD,90,No info,5678,Tuesday,March,0,None,None,12,Short_duration,Short_Dist,Afternoon,Evening,19,40,21,10
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,425,In-flight meal not included,10844,Thursday,June,1,None,None,6,Short_duration,Medium_Dist,Afternoon,Evening,16,30,23,35
Jet Airways,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,370,In-flight meal not included,7280,Thursday,March,1,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,45,15,55
Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,480,No info,7618,Thursday,March,1,None,None,21,Short_duration,Long_Dist,Afternoon,Evening,13,00,21,0
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,725,No info,15147,Wednesday,March,1,None,None,6,Short_duration,Long_Dist,Ealry_Morning,Evening,08,55,21,0
Jet Airways,2019-05-18,Kolkata,Banglore,CCU → BOM → BLR,775,No info,13941,Saturday,May,1,19,May,18,Medium_duration,Medium_Dist,Evening,Ealry_Morning,21,10,10,5
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → DEL → BLR,575,No info,11467,Monday,April,1,None,None,1,Short_duration,Medium_Dist,Ealry_Morning,Afternoon,09,35,19,10
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,910,No info,6270,Thursday,June,1,28,Jun,27,Medium_duration,Long_Dist,Ealry_Morning,Night,10,20,1,30
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,700,No info,17057,Sunday,March,1,04,Mar,3,Short_duration,Long_Dist,Afternoon,Night,13,55,1,35
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,175,No info,8016,Monday,June,0,None,None,3,Short_duration,Medium_Dist,Afternoon,Afternoon,15,15,18,10
SpiceJet,2019-06-27,Delhi,Cochin,DEL → PNQ → COK,270,No check-in baggage included,4760,Thursday,June,1,None,None,27,Short_duration,Long_Dist,Ealry_Morning,Afternoon,08,45,13,15
SpiceJet,2019-03-21,Kolkata,Banglore,CCU → BLR,160,No check-in baggage included,3815,Thursday,March,0,None,None,21,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,06,55,9,35
SpiceJet,2019-05-01,Kolkata,Banglore,CCU → BLR,150,No info,4174,Wednesday,May,0,None,None,1,Short_duration,Medium_Dist,Afternoon,Afternoon,17,10,19,40
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1450,No info,12692,Thursday,June,1,07,Jun,6,Medium_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,09,35,9,45
Air India,2019-05-15,Kolkata,Banglore,CCU → BOM → COK → BLR,1700,No info,15532,Wednesday,May,2,16,May,15,Long_duration,Medium_Dist,Ealry_Morning,Afternoon,09,25,13,45
Jet Airways,2019-06-06,Mumbai,Hyderabad,BOM → HYD,85,In-flight meal not included,4995,Thursday,June,0,None,None,6,Short_duration,Short_Dist,Ealry_Morning,Ealry_Morning,07,05,8,30
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,610,In-flight meal not included,12898,Monday,May,1,28,May,27,Short_duration,Long_Dist,Afternoon,Night,18,15,4,25
Multiple carriers,2019-05-09,Delhi,Cochin,DEL → BOM → COK,690,No info,9794,Thursday,May,1,None,None,9,Short_duration,Long_Dist,Ealry_Morning,Afternoon,07,30,19,0
Air India,2019-05-15,Banglore,Delhi,BLR → DEL,170,No info,5228,Wednesday,May,0,None,None,15,Short_duration,Medium_Dist,Afternoon,Afternoon,13,20,16,10
Jet Airways,2019-06-27,Delhi,Cochin,DEL → BOM → COK,825,In-flight meal not included,10262,Thursday,June,1,28,Jun,27,Medium_duration,Long_Dist,Evening,Afternoon,22,50,12,35
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → HYD → COK,385,No info,9646,Monday,June,1,None,None,24,Short_duration,Long_Dist,Ealry_Morning,Afternoon,09,45,16,10
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,775,No info,15149,Wednesday,May,1,16,May,15,Medium_duration,Medium_Dist,Evening,Ealry_Morning,21,10,10,5
IndiGo,2019-06-09,Kolkata,Banglore,CCU → HYD → BLR,265,No info,4205,Sunday,June,1,None,None,9,Short_duration,Medium_Dist,Afternoon,Evening,19,20,23,45
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,810,No info,15147,Wednesday,March,1,None,None,6,Medium_duration,Long_Dist,Ealry_Morning,Evening,07,30,21,0
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,1445,In-flight meal not included,13712,Wednesday,March,1,07,Mar,6,Medium_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,08,55,9,0
Air India,2019-03-09,Delhi,Cochin,DEL → MAA → COK,965,No info,12415,Saturday,March,1,10,Mar,9,Medium_duration,Long_Dist,Afternoon,Ealry_Morning,17,20,9,25
Air Asia,2019-05-15,Kolkata,Banglore,CCU → IXR → DEL → BLR,500,No info,5192,Wednesday,May,2,None,None,15,Short_duration,Medium_Dist,Afternoon,Evening,15,10,23,30
Air Asia,2019-05-15,Kolkata,Banglore,CCU → BBI → BLR,220,No info,5162,Wednesday,May,1,None,None,15,Short_duration,Medium_Dist,Ealry_Morning,Ealry_Morning,06,50,10,30
IndiGo,2019-03-03,Delhi,Cochin,DEL → HYD → COK,570,No info,9027,Sunday,March,1,None,None,3,Short_duration,Long_Dist,Ealry_Morning,Afternoon,06,40,16,10
Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1695,In-flight meal not included,11134,Sunday,March,1,25,Mar,24,Long_duration,Medium_Dist,Afternoon,Afternoon,13,55,18,10
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,800,In-flight meal not included,10844,Friday,May,1,25,May,24,Medium_duration,Medium_Dist,Evening,Ealry_Morning,20,00,9,20
Vistara,2019-03-24,Kolkata,Banglore,CCU → DEL → BLR,1070,No info,12890,Sunday,March,1,25,Mar,24,Medium_duration,Medium_Dist,Afternoon,Ealry_Morning,17,00,10,50
